Status,Date,Description,Debit,Credit
Cleared,04/11/2025,"CITY PLACE CAFE WASHINGTON DC",12.21,
Cleared,04/11/2025,"CITY PLACE CAFE WASHINGTON DC",14.71,
Cleared,04/11/2025,"TTP* ALEXANDRIAPETCARE AUSTIN TX null XXXXXXXXXXXX6390",71.90,
Cleared,04/11/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/11/2025,"CAFE ARIA WASHINGTON DC",17.99,
Cleared,04/11/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX4543",36.00,
Cleared,04/11/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX4543",42.21,
Cleared,04/11/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,04/11/2025,"PAPA JOHN'S #0830 ALEXANDRIA VA null XXXXXXXXXXXX9440",27.74,
Cleared,04/10/2025,"Spotify USA New York NY null XXXXXXXXXXXX8486",19.99,
Cleared,04/10/2025,"POTBELLY WASHINGTON DC",296.28,
Cleared,04/10/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/10/2025,"JAKES ICE CREAM LLC FALLS CHURCH VA",37.31,
Cleared,04/10/2025,"THE EXCHANGE WASHINGTON DC",40.55,
Cleared,04/10/2025,"STARBUCKS 00735 WASHINGTON DC",69.03,
Cleared,04/09/2025,"NETFLIX.COM NETFLIX.COM CA null XXXXXXXXXXXX2840",24.99,
Cleared,04/09/2025,"COMCAST 800-COMCAST MD",138.91,
Cleared,04/09/2025,"CITY PLACE CAFE WASHINGTON DC",9.94,
Cleared,04/09/2025,"HELP.MAX.COM NEW YORK NY null XXXXXXXXXXXX0994",16.99,
Cleared,04/09/2025,"HARRIS TEETER #0133 ALEXANDRIA VA",26.68,
Cleared,04/09/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/09/2025,"CAFE ARIA WASHINGTON DC",17.99,
Cleared,04/09/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,04/09/2025,"MAIDPRO OF ALEXANDRIA ALEXANDRIA VA",179.00,
Cleared,04/08/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/08/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,04/08/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,04/07/2025,"AMAZON MKTPL*MK7487PT3 Amzn.com/bill WA null XXXXXXXXXXXX7795",31.69,
Cleared,04/07/2025,"CITY PLACE CAFE WASHINGTON DC",16.17,
Cleared,04/07/2025,"TTP* ALEXANDRIAPETCARE AUSTIN TX null XXXXXXXXXXXX6390",35.95,
Cleared,04/07/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/07/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,04/07/2025,"TST*RASIKA WEST END Washington DC",95.04,
Cleared,04/07/2025,"BRAY AND SCARFF EPAY LAUREL MD",754.95,
Cleared,04/07/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,04/06/2025,"AMTRAK MOBILE 2029063000 DC null XXXXXXXXXXXX9440",,-5.00
Cleared,04/06/2025,"SQ *STRAND PARKING ALEXANDRIA VA",20.00,
Cleared,04/06/2025,"LABORATORY CORPORATION 8002227566 NC null XXXXXXXXXXXX8942",108.76,
Cleared,04/06/2025,"SQ *ARKIBUNA @FARRAGUT Alexandria VA",8.05,
Cleared,04/06/2025,"SQ *OLD BLUE BBQ - WES Alexandria VA",35.30,
Cleared,04/06/2025,"TST*VIRTUE FEED & GRAI Alexandria VA",130.78,
Cleared,04/05/2025,"WEGMANS #142 CARLYLE ALEXANDRIA VA",189.56,
Cleared,04/05/2025,"PP*COACH TRANSPORTATIO WASHINGTON DC",16.21,
Cleared,04/05/2025,"AMAZON MKTPL*VX15D6A83 Amzn.com/bill WA null XXXXXXXXXXXX7795",29.57,
Cleared,04/05/2025,"SQ *INDEPENDENT CONTRA Alexandria VA",41.88,
Cleared,04/05/2025,"SLING.COM ENGLEWOOD CO",45.99,
Cleared,04/05/2025,"Amazon.com*VE8OU6Z53 Amzn.com/bill WA null XXXXXXXXXXXX7795",52.64,
Cleared,04/05/2025,"SHELL OIL 57543602809 ALEXANDRIA VA",49.58,
Cleared,04/04/2025,"MCDONALD'S F11491 WASHINGTON DC",10.22,
Cleared,04/04/2025,"HUDSON ST2441 PHILADELPHIA PA",6.99,
Cleared,04/04/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX4543",9.00,
Cleared,04/04/2025,"DD *DOORDASH TASTEOFAS 8559731040 CA null XXXXXXXXXXXX9440",27.23,
Cleared,04/04/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX4543",43.77,
Cleared,04/03/2025,"ONLINE PAYMENT, THANK YOU",,-5000.00
Cleared,04/03/2025,"ONLINE PAYMENT, THANK YOU",,-11000.00
Cleared,04/03/2025,"TST*INDOCHEN- CAMERON 703-419-3160 VA",61.05,
Cleared,04/03/2025,"CVS/PHARMACY #02343 ALEXANDRIA VA",6.75,
Cleared,04/03/2025,"SP WHISKY WHISKEY IMPERIAL BEAC CA null XXXXXXXXXXXX7862",119.96,
Cleared,04/03/2025,"POPEYES 2735 ALEXANDRIA VA",13.64,
Cleared,04/03/2025,"LEE FAMILY 1 LLC ALEXANDRIA VA",450.00,
Cleared,04/02/2025,"XFINITY MOBILE 888-936-4968 PA",64.04,
Cleared,04/02/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/02/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,04/02/2025,"EZPASSVA AUTO REPLENIS CLIFTON FORGE VA",35.00,
Cleared,04/02/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,04/01/2025,"DMV IRON GYM ALEXANDRIA VA null XXXXXXXXXXXX5115",65.00,
Cleared,04/01/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/01/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,04/01/2025,"RICE & NOODLES THAI GO 703-313-0330 VA",35.93,
Cleared,03/31/2025,"Nintendo CD1380001779 8002553700 WA",34.99,
Cleared,03/31/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,03/31/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,03/31/2025,"Amazon.com*IH1WT74Q3 Amzn.com/bill WA null XXXXXXXXXXXX7795",47.36,
Cleared,03/31/2025,"AMAZON MKTPL*SS19Z83S3 Amzn.com/bill WA null XXXXXXXXXXXX7795",187.93,
Cleared,03/31/2025,"TST*CITY KITCHEN Alexandria VA",47.68,
Cleared,03/31/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,03/30/2025,"ONLINE PAYMENT, THANK YOU",,-4000.00
Cleared,03/30/2025,"AMAZON MKTPLACE PMTS Amzn.com/bill WA null XXXXXXXXXXXX7795",,-42.39
Cleared,03/30/2025,"AMAZON MKTPLACE PMTS Amzn.com/bill WA null XXXXXXXXXXXX7795",,-53.00
Cleared,03/30/2025,"DC140 - THE PENN QUART WASHINGTON DC",20.00,
Cleared,03/30/2025,"CHWYINC*GPAYEAYT6K3UNY 8006724399 FL null XXXXXXXXXXXX9440",53.25,
Cleared,03/30/2025,"JAKES ICE CREAM LLC FALLS CHURCH VA",14.72,
Cleared,03/30/2025,"TST*THE CHEWISH DELI Alexandria VA",23.11,
Cleared,03/30/2025,"DELTA 00623191748373 DELTA.COM CA",144.02,
Cleared,03/29/2025,"HARRIS TEETER #0133 ALEXANDRIA VA",16.20,
Cleared,03/29/2025,"ParkWhiz, Inc. Chicago IL",24.36,
Cleared,03/29/2025,"CarelonRX Specialty 800-7467287 PA",50.00,
Cleared,03/29/2025,"TST*FIOLA Washington DC",1212.00,
Cleared,03/28/2025,"LABORATORY CORPORATION 8002227566 NC null XXXXXXXXXXXX8942",26.50,
Cleared,03/28/2025,"HARRIS TEETER #0133 ALEXANDRIA VA",26.68,
Cleared,03/28/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,03/28/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,03/28/2025,"TLF*THE ENCHANTED FLOR ALEXANDRIA VA null XXXXXXXXXXXX8538",228.95,
Cleared,03/28/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,03/28/2025,"Feeding America CHICAGO IL",35.00,
Cleared,03/27/2025,"GOOGLE *Google One 650-253-0000 CA",9.99,
Cleared,03/27/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,03/27/2025,"Kindle Svcs*5Y50S1U83 888-802-3080 WA null XXXXXXXXXXXX7795",13.99,
Cleared,03/27/2025,"DEVON & BLAKELY WASHINGTON DC",19.75,
Cleared,03/27/2025,"TST*CITY KITCHEN Alexandria VA",52.18,
Cleared,03/27/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,03/26/2025,"WEGMANS ONLINE SHOPPIN ROCHESTER NY",137.55,
Cleared,03/26/2025,"MAIDPRO OF ALEXANDRIA ALEXANDRIA VA",179.00,
Cleared,03/26/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,03/26/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,03/26/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,03/25/2025,"CVS/PHARMACY #02343 ALEXANDRIA VA",1.73,
Cleared,03/25/2025,"WASHINGTON FERTILITY C ANNANDALE VA",95.52,
Cleared,03/25/2025,"CAFE ARIA WASHINGTON DC",11.74,
Cleared,03/25/2025,"AMTRAK MOBILE 2029063000 DC null XXXXXXXXXXXX9440",197.00,
Cleared,03/25/2025,"RICE & NOODLES THAI GO 703-313-0330 VA",38.05,
Cleared,03/24/2025,"METLIFE PET JEFFERSONVILL IN null XXXXXXXXXXXX4976",100.29,
Cleared,03/24/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,03/24/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,03/24/2025,"AMAZON MKTPL*O85I23TB3 Amzn.com/bill WA null XXXXXXXXXXXX7795",274.83,
Cleared,03/24/2025,"AMAZON MKTPL*0H3IC1A93 Amzn.com/bill WA null XXXXXXXXXXXX7795",1753.62,
Cleared,03/24/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,03/23/2025,"AMTRAK MOBILE 2029063000 DC null XXXXXXXXXXXX9440",,-51.00
Cleared,03/23/2025,"TST*ATLAS BREW WORKS - 703-512-4072 VA",62.34,
Cleared,03/23/2025,"Prime Video *AF74120B3 888-802-3080 WA null XXXXXXXXXXXX7795",5.99,
Cleared,03/23/2025,"GOOGLE *Google One 650-253-0000 CA",9.99,
Cleared,03/23/2025,"BRAY AND SCARFF EPAY LAUREL MD",79.95,
Cleared,03/23/2025,"BRAY AND SCARFF EPAY LAUREL MD",11002.69,
Cleared,03/23/2025,"MANCHESTER BAGEL ALEXANDRIA VA",27.50,
Cleared,03/22/2025,"PAPA JOHN'S #0830 ALEXANDRIA VA null XXXXXXXXXXXX9440",32.18,
Cleared,03/22/2025,"SQ *DAVID COMMA Alexandria VA",50.00,
Cleared,03/22/2025,"AMTRAK MOBILE 2029063000 DC null XXXXXXXXXXXX9440",105.00,
Cleared,03/22/2025,"LOUIE LOUIE - FEARLESS PHILADELPHIA PA",55.33,
Cleared,03/21/2025,"Thankyou Points Redeemed TY OR265078202",,-201.99
Cleared,03/21/2025,"CVS/PHARMACY #00450 PHILADELPHIA PA",4.59,
Cleared,03/21/2025,"MCDONALD'S F11491 WASHINGTON DC",9.89,
Cleared,03/21/2025,"CVS/PHARMACY #00450 PHILADELPHIA PA",16.19,
Cleared,03/21/2025,"HUDSON ST2441 PHILADELPHIA PA",6.99,
Cleared,03/21/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX4543",7.00,
Cleared,03/21/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX4543",31.89,
Cleared,03/21/2025,"TST*HAN DYNASTY - UNIV Philadelphia PA",62.41,
Cleared,03/20/2025,"AKENO SUSHI BAR ALEXANDRIA VA",86.69,
Cleared,03/20/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,03/20/2025,"JAKES ICE CREAM LLC FALLS CHURCH VA",14.72,
Cleared,03/20/2025,"CAFE ARIA WASHINGTON DC",16.89,
Cleared,03/19/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
